"Status","Date","Description","Statement Description","Category","Debit","Credit","Balance","Fees","Memo"
"Posted","12/23/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,2638,3763.27,,
"Posted","12/23/2019","Amazon.com","DEBIT CARD #XXXX 12/23 AMAZON.COM*XXXXX AMZN.COM/BILLWA","Shopping",-325.49,,1125.27,,
"Posted","12/19/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-150.52,,1450.76,,
"Posted","12/9/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,1601.28,,
"Posted","12/6/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,1061,4101.28,,
"Posted","12/2/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,103,3040.28,,
"Posted","12/2/2019","Monkeybrains","DEBIT CARD #XXXX 12/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,2937.28,,
"Posted","11/25/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,2000,3012.28,,
"Posted","11/15/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-115.51,,1012.28,,
"Posted","11/6/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,1075.47,1127.79,,
"Posted","11/5/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,52.32,,
"Posted","11/5/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Utilities",-379.74,,2552.32,,
"Posted","11/1/2019","Monkeybrains","DEBIT CARD #XXXX 11/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,2932.06,,
"Posted","10/31/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1000,3007.06,,
"Posted","10/22/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1000,2007.06,,
"Posted","10/15/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-35.24,,1007.06,,
"Posted","10/7/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,1042.3,,
"Posted","10/7/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,1016.04,3542.3,,
"Posted","10/2/2019","Monkeybrains","DEBIT CARD #XXXX 10/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,2526.26,,
"Posted","10/1/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1000,2601.26,,
"Posted","9/30/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,173,1601.26,,
"Posted","9/23/2019","Amazon.com","DEBIT CARD #XXXX 09/22 AMZN MKTP US*XXX AMZN.COM/BILLWA","Shopping",-69.99,,1428.26,,
"Posted","9/17/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-45,,1498.25,,
"Posted","9/16/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,1543.25,,
"Posted","9/6/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,953.7,4043.25,,
"Posted","9/3/2019","Monkeybrains","DEBIT CARD #XXXX 09/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,3089.55,,
"Posted","9/3/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1088,3164.55,,
"Posted","8/19/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,563,2076.55,,
"Posted","8/15/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-41.19,,1513.55,,
"Posted","8/6/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,1554.74,,
"Posted","8/6/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,939.24,4054.74,,
"Posted","8/1/2019","Monkeybrains","DEBIT CARD #XXXX 08/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,3115.5,,
"Posted","7/30/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,115,3190.5,,
"Posted","7/30/2019","Patreon","ACH CREDIT PATREON         -PATREON","Income",,1372.18,3075.5,,
"Posted","7/29/2019","PayPal Transfer","ACH CREDIT PAYPAL          -TRANSFER","Income",,248.28,1703.32,,
"Posted","7/29/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1300,1455.04,,
"Posted","7/11/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-44.25,,155.04,,
"Posted","7/9/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,199.29,,
"Posted","7/1/2019","Monkeybrains","DEBIT CARD #XXXX 07/01 MONKEYBRAINS     415-974-1313 CA","Internet",-75,,2699.29,,
"Posted","7/1/2019","Branch Deposit","DEPOSIT - BRANCH","Income",,1500,2774.29,,
"Posted","7/1/2019","PayPal Transfer","ACH CREDIT PAYPAL          -TRANSFER","Income",,492.37,1274.29,,
"Posted","6/11/2019","Pacific Gas and Electric Company","ACH DEBIT PGANDE          -WEB ONLINE","Utilities",-37.66,,781.92,,
"Posted","6/6/2019","Monkeybrains","DEBIT CARD #XXXX 06/05 MONKEYBRAINS     415-974-1313 CA","Internet",-137.5,,819.58,,
"Posted","6/6/2019","Amazon.com","DEBIT CARD #XXXX 06/06 AMAZON.COM*XXXXX AMZN.COM/BILLWA","Shopping",-65.09,,957.08,,
"Posted","6/4/2019","Check# XXXX","CHECK# XXXX CHECK WITHDRAWAL","Mortgage &amp; Rent",-2500,,1022.17,,
