Date,Description,Statement Description,Category,Debit,Credit,Balance
1/15/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-133.84,,7555.11
1/2/2021,Monkeybrains,DEBIT CARD #XXXX 01/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,8565.49
1/29/2021,Google (App Purchase from Cloud_01 Cc@),DEBIT CARD #XXXX 01/29 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-27.25,,7527.86
1/4/2021,Branch Deposit,DEPOSIT - BRANCH,Income,,750,9315.49
1/5/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,6815.49
1/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,873.46,7688.95
10/1/2021,Monkeybrains,DEBIT CARD #XXXX 10/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,14222.05
10/20/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-55.68,,12389.04
10/26/2021,Google Cloud,DEBIT CARD #XXXX 10/26 GOOGLE *CLOUD 3X CC@GOOGLE.COMCA,Web Infrastructure,-31.32,,12357.72
10/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,722.67,14944.72
10/7/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,12444.72
11/1/2021,Monkeybrains,DEBIT CARD #XXXX 11/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,12282.72
11/18/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-74.44,,9881.57
11/2/2021,The Hartford,ACH DEBIT THE HARTFORD    -NTCLBIIVRC,Insurance,-550,,9232.72
11/2/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,9782.72
11/26/2021,Google Cloud,DEBIT CARD #XXXX 11/25 GOOGLE*CLOUD V3S SUPPORT.GOOGLCA,Web Infrastructure,-31.06,,9850.51
11/8/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,723.29,9956.01
12/1/2021,Monkeybrains,DEBIT CARD #XXXX 12/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,9775.51
12/15/2021,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,4310.75,12278.04
12/16/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-99.19,,12178.85
12/24/2021,Mobile Deposit,Mobile Deposit,Income,,1070,13248.85
12/27/2021,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,4000,17217.44
12/27/2021,Google Cloud,DEBIT CARD #XXXX 12/25 GOOGLE*CLOUD 32E SUPPORT.GOOGLCA,Web Infrastructure,-31.41,,13217.44
12/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,691.78,10467.29
12/7/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,7967.29
2/1/2021,Monkeybrains,DEBIT CARD #XXXX 02/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,7452.86
2/16/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-111.96,,5636.91
2/2/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,4952.86
2/24/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,7136.91
2/8/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,796.01,5748.87
3/1/2021,Monkeybrains,DEBIT CARD #XXXX 03/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,7034.96
3/1/2021,Google Cloud,DEBIT CARD #XXXX 02/28 GOOGLE*CLOUD 01E INTERNET     CA,Web Infrastructure,-26.95,,7109.96
3/16/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-79.71,,5258.43
3/18/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,6758.43
3/30/2021,Google (App Purchase from Cloud_01 Cc@),DEBIT CARD #XXXX 03/30 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-27.44,,6730.99
3/8/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,803.18,7838.14
3/8/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,5338.14
4/1/2021,Monkeybrains,DEBIT CARD #XXXX 04/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,6655.99
4/15/2021,Analysis Charge,DEBIT-ANALYSIS CHARGE,ATM Fee,-25.56,,4933.53
4/16/2021,Credit Analysis Charge For Fees March,CREDIT-ANALYSIS CHARGE CREDIT FOR ANALYSIS FEES MARCH 2021,ATM Fee?,,25.56,4959.09
4/19/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-67.53,,4891.56
4/22/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,6391.56
4/29/2021,Google Cloud E Support Googlca,DEBIT CARD #XXXX 04/29 GOOGLE*CLOUD 01E SUPPORT.GOOGLCA,Web Infrastructure,-27.38,,6364.18
4/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,803.1,7459.09
4/6/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,4959.09
5/1/2021,Monkeybrains,DEBIT CARD #XXXX 05/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,6289.18
5/19/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-77.73,,4507.42
5/29/2021,Google Cloud E Support Googlca,DEBIT CARD #XXXX 05/29 GOOGLE*CLOUD 01E SUPPORT.GOOGLCA,Web Infrastructure,-27.43,,4479.99
5/4/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,3789.18
5/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,795.97,4585.15
6/1/2021,Monkeybrains,DEBIT CARD #XXXX 06/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,4404.99
6/14/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,4200.97
6/17/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-47.34,,4153.63
6/28/2021,Google Cloud E Support Googlca,DEBIT CARD #XXXX 06/28 GOOGLE*CLOUD 01E SUPPORT.GOOGLCA,Web Infrastructure,-25.12,,4128.51
6/4/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,1904.99
6/7/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,795.98,2700.97
7/1/2021,Monkeybrains,DEBIT CARD #XXXX 07/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,4053.51
7/19/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-381.1,,6983.51
7/20/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-63.66,,6919.85
7/29/2021,Google (App Purchase from Cloud_01 Cc@),DEBIT CARD #XXXX 07/28 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-29.56,,6890.29
7/30/2021,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,4319.33,11209.62
7/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,811.1,4864.61
7/7/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,2364.61
7/9/2021,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,5000,7364.61
8/10/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,9380.53
8/19/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-66.03,,9314.5
8/2/2021,Monkeybrains,DEBIT CARD #XXXX 08/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,11134.62
8/25/2021,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,4000,13314.5
8/26/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,14814.5
8/27/2021,Google Cloud,DEBIT CARD #XXXX 08/27 GOOGLE*CLOUD UYB SUPPORT.GOOGLCA,Web Infrastructure,-27.68,,14786.82
8/6/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,745.91,11880.53
9/1/2021,Monkeybrains,DEBIT CARD #XXXX 09/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,14711.82
9/20/2021,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-107.5,,12827.74
9/23/2021,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,14327.74
9/27/2021,Google Cloud,DEBIT CARD #XXXX 09/26 GOOGLE*CLOUD 9WD SUPPORT.GOOGLCA,Web Infrastructure,-30.69,,14297.05
9/7/2021,Patreon,ACH CREDIT PATREON         -PATREON,Income,,723.42,15435.24
9/8/2021,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,12935.24
